"STATION","date","EC_val"
11476,2012-05-07,63
11476,2010-10-04,46
11476,2010-12-06,17
12301,2007-07-18,120
12301,2007-08-16,190
12301,2007-10-15,52
12301,2007-11-12,48
12301,2007-06-20,71
12301,2008-01-03,26
12301,2008-01-16,6
12301,2008-02-04,7
12301,2008-03-03,23
12301,2008-04-07,170
12301,2008-05-05,49
33112,2007-06-20,150
33112,2007-07-18,580
33112,2007-09-12,30
33112,2007-10-15,25
33112,2007-11-12,50
33112,2007-08-16,160
33112,2008-01-03,14
33112,2008-02-04,10
33112,2008-03-03,5
33112,2008-04-07,57
33112,2008-05-05,49
33112,2008-07-07,53
33112,2008-07-28,490
33112,2008-08-18,230
33112,2008-09-08,37
33112,2008-09-30,19
33112,2008-06-13,75
33112,2009-10-19,32
33112,2009-11-16,38
33112,2009-12-14,20
33112,2010-01-04,6
33112,2010-01-24,26
33112,2010-02-18,10
33112,2010-03-08,36
33112,2010-03-29,77
33112,2010-04-19,21
33112,2010-05-10,170
33112,2010-06-02,690
33112,2010-06-21,77
12301,2007-09-12,88
33112,2010-07-12,70
33112,2010-08-02,69
33112,2010-08-23,42
33112,2010-09-13,260
33112,2010-10-04,41
33112,2010-10-25,360
33112,2010-11-17,26
33112,2010-12-06,16
33112,2010-12-27,20
33112,2011-01-24,8
33112,2011-02-14,41
33112,2011-03-14,19
33112,2011-04-05,3
33112,2011-04-20,12
33112,2011-05-23,50
33112,2011-06-20,150
33112,2011-07-18,80
33112,2011-08-15,2400
33112,2011-09-12,67
33112,2011-10-11,1400
33112,2011-11-07,37
33112,2011-12-05,16
33112,2012-01-09,19
33112,2012-02-13,22
33112,2012-04-09,21
33112,2012-05-07,20
33112,2012-06-04,290
33112,2012-07-09,91
33112,2012-08-06,1200
33112,2012-09-10,62
33112,2012-10-09,23
33112,2012-11-05,63
33112,2012-12-03,35
33112,2013-01-02,8
33112,2013-01-28,12
33112,2013-02-25,20
34454,2007-06-20,410
34454,2007-07-18,980
34454,2007-08-16,580
34454,2007-09-12,240
34454,2007-10-15,330
34454,2007-11-12,310
34454,2008-01-03,11
34454,2008-03-03,38
34454,2008-04-07,93
34454,2008-05-05,280
34454,2008-06-13,130
34454,2008-07-07,75
34454,2008-07-28,308
34454,2008-08-18,290
34454,2008-09-08,730
34454,2008-09-30,180
34454,2008-02-04,5
34454,2009-10-19,410
34454,2009-11-16,41
34454,2009-12-14,170
34454,2010-01-04,11
34454,2010-01-24,8
34454,2010-02-18,11
34454,2010-03-08,18
34454,2010-03-29,150
34454,2010-04-19,96
34454,2010-05-10,59
34454,2010-06-02,2000
34454,2010-06-21,67
34454,2010-07-12,390
34454,2010-08-02,460
34454,2010-08-23,920
34454,2010-09-13,440
34454,2010-10-04,610
34454,2010-10-25,250
34454,2010-11-17,11
34454,2010-12-06,8
34454,2010-12-27,26
34454,2011-01-24,4
34454,2011-02-14,28
34454,2011-03-14,36
34454,2011-04-05,5
34454,2011-04-20,3
34454,2011-05-23,440
34454,2011-06-20,240
34454,2011-07-18,380
34454,2011-08-15,340
34454,2011-09-12,290
34454,2011-10-11,1200
34454,2011-11-07,38
34454,2011-12-05,29
34454,2012-01-09,34
34454,2012-02-13,24
34454,2012-04-09,5
34454,2012-06-04,140
34454,2012-07-09,220
34454,2012-08-06,1000
34454,2012-09-10,920
34454,2012-10-09,230
34454,2012-11-05,110
34454,2012-12-03,25
34454,2013-01-02,8
34454,2013-01-28,9
34454,2013-02-25,18
34455,2007-06-20,210
34455,2007-07-18,310
34455,2007-08-16,180
34455,2007-09-12,290
34455,2007-11-12,130
34455,2007-10-15,79
34455,2008-01-03,17
34455,2008-02-04,6
34455,2008-04-07,59
34455,2008-05-05,66
34455,2008-03-03,54
34456,2007-06-20,19
34456,2007-07-18,73
34456,2007-08-16,84
34456,2007-09-12,53
34456,2007-10-15,25
34456,2008-01-16,7
34456,2008-02-04,14
34456,2008-03-03,10
34456,2008-05-05,50
34456,2008-01-03,41
34456,2008-04-07,26
